date	expectedearning
12-May-13	23.92
19-May-13	27
26-May-13	25
2-Jun-13	25
9-Jun-13	27
16-Jun-13	27
23-Jun-13	27	
30-Jun-13	27
7-Jul-13	27
14-Jul-13	27
21-Jul-13	27
28-Jul-13	27
4-Aug-13	27
11-Aug-13	26
18-Aug-13	26
25-Aug-13	26
1-Sep-13	26
8-Sep-13	26
15-Sep-13	26
22-Sep-13	26
29-Sep-13	28
6-Oct-13	27
13-Oct-13	27
20-Oct-13	27
27-Oct-13	27
3-Nov-13	27
10-Nov-13	27
17-Nov-13	27
24-Nov-13	27
1-Dec-13	27
8-Dec-13	27
15-Dec-13	27
22-Dec-13	27
29-Dec-13	77
5-Jan-14	77
12-Jan-14	77
19-Jan-14	77
26-Jan-14	77
2-Feb-14	77	
9-Feb-14	77
16-Feb-14	77
23-Feb-14	77
2-Mar-14	77
9-Mar-14	77
16-Mar-14	96
23-Mar-14	93
30-Mar-14	93
6-Apr-14	93
13-Apr-14	93
20-Apr-14	93
27-Apr-14	93
4-May-14	93
11-May-14	93
