Movie Name	Released Date	Sales (Million USD)	Sales Value	Studio	Genre
A Million Ways to Die in the West	5/30/2014	27.258	9.086	Universal Pictures	Comedy
Maleficent	5/30/2014	62.98	20.99333333	Walt Disney Studios	Fantasy
The Fault in Our Stars	6/6/2014	11.189	3.729666667	Twentieth Century Fox Film Corporation	Drama
Edge of Tomorrow	6/6/2014	29.85	9.95	Warner Bros.	SciFi
22 Jump Street	6/13/2014	32.79	10.93	Sony Pictures Entertainment	Comedy
The Signal	6/13/2014	12.2	4.066666667	Focus Features	SciFi
How to Train Your Dragon 2	6/13/2014	78.78	26.26	Twentieth Century Fox Film Corporation	Animation
Think Like a Man Too	6/20/2014	14.533	4.844333333	Sony Pictures Entertainment	Comedy
Jersey Boys	6/20/2014	9.133	3.044333333	Warner Bros.	Drama
Transformers: Age of Extinction	6/27/2014	98.161	32.72033333	Paramount Pictures	Action
Tammy	7/2/2014	13.465	4.488333333	Warner Bros.	Comedy
Deliver Us from Evil	7/2/2014	15.7	5.233333333	Sony Pictures Entertainment	Horror
Earth to Echo	7/2/2014	8.907	2.969	Relativity Media	SciFi
And So It Goes	7/11/2014	10.894	3.631333333	Independent	Drama
Dawn of the Planet of the Apes	7/11/2014	51	17	Twentieth Century Fox Film Corporation	Action
Planes: Fire and Rescue	7/18/2014	12.02	4.006666667	Walt Disney Studios	Animation
Jupiter Ascending	7/18/2014	19.64	6.546666667	Warner Bros.	SciFi
The Purge: Anarchy	7/18/2014	31.95	10.65	Universal Pictures	Horror
Hercules	7/25/2014	29.6	9.866666667	Paramount Pictures	Action
Step Up: All In	7/25/2014	2.705	0.901666667	Lionsgate Entertainment	Drama
Sex Tape	7/25/2014	37.402	12.46733333	Sony Pictures Entertainment	Comedy
Wish I Was Here	7/25/2014	14.45	4.816666667	Focus Features	Drama
Lucy	7/25/2014	8.16	2.72	Universal Pictures	SciFi
Very Good Girls	7/25/2014	1.343	0.447666667	Independent	Drama
Guardians of the Galaxy	8/1/2014	71.44	23.81333333	Walt Disney Studios	Action
Get on Up	8/1/2014	12.314	4.104666667	Universal Pictures	Drama
Calvary	8/1/2014	11.069	3.689666667	Twentieth Century Fox Film Corporation	Drama
The Hundred-Foot Journey	8/8/2014	19.242	6.414	Walt Disney Studios	Drama
Teenage Mutant Ninja Turtles	8/8/2014	38	12.66666667	Paramount Pictures	Action
Into the Storm	8/8/2014	10	3.333333333	Warner Bros.	Action
Let's Be Cops	8/13/2014	15.035	5.011666667	Twentieth Century Fox Film Corporation	Comedy
Desert Dancer	8/15/2014	11.925	3.975	Relativity Media	Drama
