quarter,TED,Neighbors
Week2,16,20
Week3,16,20
Week4,21,20
Week5,15,20
Week6,33,20
Week7,32,20
Week8,33,20
Week9,33,20
Week10,33,20
Week11,33,20
Week12,33,20
Week13,33,20
Week14,33,23
Week15,33,21
Week16,33,20
Week17,33,20
Week18,33,39
Week19,33,30
Week20,33,31
Week21,33,29
Week22,33,25
Week23,33,28
Week24,33,29
Week25,34,16
Week26,36,38
Week27,32,33
Week28,33,31
Week29,36,28
Week30,35,28
Week31,33,33
Week32,33,31
Week33,33,33.9
Week34,33,38
Week35,33,37
Week36,33,29
Week37,33,28
Week38,33,26
Week39,33,38
Week40,33,35
Week41,34,37
Week42,24,28
Week43,73,25
Week44,59,17
Week45,51,22
Week46,50,24
Week47,52,26
Week48,53,17
Week49,50,22
Week50,50,26
Week51,50,24
Week52,50,28
Week53,50,40.27
