date	expectedearning
12-May-13	23.92
19-May-13	23.92
26-May-13	27.12
02-Jun-13	25.52
09-Jun-13	25.52
16-Jun-13	25.52
23-Jun-13	27.12	
30-Jun-13	27.12
07-Jul-13	27.12
14-Jul-13	27.12
21-Jul-13	27.12
28-Jul-13	27.29
04-Aug-13	27.29
11-Aug-13	26.48
18-Aug-13	26.48
25-Aug-13	26.65
01-Sep-13	26.58
08-Sep-13	26.66
15-Sep-13	26.66
22-Sep-13	26.66
29-Sep-13	26.66
06-Oct-13	28.92
13-Oct-13	27.89
20-Oct-13	77.14
27-Oct-13	77.14
03-Nov-13	77.14
10-Nov-13	27.89
17-Nov-13	27.89
24-Nov-13	27.89
01-Dec-13	27.89
08-Dec-13	27.89
15-Dec-13	27.89
22-Dec-13	27.89
29-Dec-13	27.89
05-Jan-14	27.89
12-Jan-14	27.89
19-Jan-14	77.14
26-Jan-14	77.14
02-Feb-14	77.14
09-Feb-14	77.14
16-Feb-14	77.14
23-Feb-14	77.14
02-Mar-14	77.14
09-Mar-14	77.14
16-Mar-14	77.14
23-Mar-14	77.14
30-Mar-14	77.14
06-Apr-14	77.14
13-Apr-14	77.14
20-Apr-14	77.14
27-Apr-14	77.14
04-May-14	77.14
01-May-14	77.14
